school_name,address,city,school_district,telephone,students,classroom_teachers,free_lunch_students,reduce_price_lunch
21st Century Learning Institute School,"939 E. 10th St.Beaumont, CA 92223","Beaumont, CA 92223",Beaumont Unified,(951) 769-8424(make sure to verify first before calling),73,3.3,35,3
A B C Little School,"6447 WOODMAN AVELos Angeles, CA 91401","Los Angeles, CA 91401",,86,No,No,,
A Better Chance /Cal Autism Foundation School,"4138 LAKESIDE DRRichmond, CA 94806","Richmond, CA 94806",,37,No,No,,
A Bright Beginning Child Development Center School,"712 E MANCHESTER BLVDInglewood, CA 90301","Inglewood, CA 90301",,56,No,15,,
A Caring Touch Christian Family Center School,"3035 E AVENUE SPalmdale, CA 93550","Palmdale, CA 93550",,37,No,No,,
A Place To Grow School,"414 E. Ojai Ave.Ojai, CA 93023","Ojai, CA 93023",Ojai Unified,(805) 640-4300(make sure to verify first before calling),Ojai Unified,No,,
A. E. Arnold Elementary School,"9281 Denni St.Cypress, CA 90630","Cypress, CA 90630",Cypress Elementary,(714) 220-6965(make sure to verify first before calling),728,27.0,195,69
A. G. Currie Middle School,"1402 Sycamore Ave.Tustin, CA 92780","Tustin, CA 92780",Tustin Unified,(714) 730-7360(make sure to verify first before calling),776,33.3,646,92
A. J. Cook Elementary School,"9802 Woodbury Ave.Garden Grove, CA 92844","Garden Grove, CA 92844",Garden Grove Unified,(714) 663-6251(make sure to verify first before calling),94,355,No,178
A. J. Dorsa Elementary School,"1290 Bal Harbor Dr.San Jose, CA 95122","San Jose, CA 95122",Alum Rock Union Elementary,(408) 928-7400(make sure to verify first before calling),489,18.5,372,73
A. L. Conner Elementary School,"222 Fourth St.Orange Cove, CA 93646","Orange Cove, CA 93646",Kings Canyon Joint Unified,(559) 305-7200(make sure to verify first before calling),22,328,"Yes, under Community Eligibility Option (CEO)",287
A. M. Thomas Middle School,"20979 Lobos Ct.Lost Hills, CA 93249","Lost Hills, CA 93249",Lost Hills Union Elementary,(661) 797-2626(make sure to verify first before calling),170,8.8,160,3
A. M. Winn Waldorf-Inspired School,"3351 Explorer Dr.Sacramento, CA 95827","Sacramento, CA 95827",Sacramento City Unified,(916) 228-5880(make sure to verify first before calling),365,14.3,254,40
Abc Childcare Center School,"29705 SOLANA WAYTemecula, CA 92591","Temecula, CA 92591",,130,No,No,,
Abc Little School,"11728 MOORPARK STLos Angeles, CA 91604","Los Angeles, CA 91604",,88,No,No,,
Abc Little - West Hollywood School,"927 N FAIRFAX AVELos Angeles, CA 90046","Los Angeles, CA 90046",,50,No,No,,
Abc Playhouse School,"18213 PRAIRIE AVETorrance, CA 90504","Torrance, CA 90504",,90,No,No,,
Abc School,"4540 HARLIN DRSacramento, CA 95826","Sacramento, CA 95826",,78,No,No,,
Abc House School,"4102 W VICTORY BLVDBurbank, CA 91505","Burbank, CA 91505",,28,No,No,,
Abc Secondary (Alternative) School,"16534 S. Carmenita Rd.Cerritos, CA 90703","Cerritos, CA 90703",ABC Unified,(562) 229-7768(make sure to verify first before calling),64,1.8,24,ABC Unified
Abiding Savior Lutheran School,"23262 EL TORO RDLake Forest, CA 92630","Lake Forest, CA 92630",,269,No,No,,
Abraham Joshua Heel Day School,"17701 DEVONSHIRE STLos Angeles, CA 91325","Los Angeles, CA 91325",,362,No,No,,
Acaciawood School,"2530 W LA PALMA AVEAnaheim, CA 92801","Anaheim, CA 92801",,119,No,No,,
Academia De Talar School,"31430 CALLE DE TALARBonsall, CA 92003","Bonsall, CA 92003",,7,No,No,,
Academy For Advancement Of Children With Autism School,"6742 E AVE HLancaster, CA 93535","Lancaster, CA 93535",,45,No,No,,
Academy Of Our Lady Of Peace School,"4860 OREGON STSan Diego, CA 92116","San Diego, CA 92116",,747,No,No,,
Academy On The Hill School,"10 MAREBLUAliso Viejo, CA 92656","Aliso Viejo, CA 92656",,165,No,35,,
Ace Alum Rock School,"1990 Kammerer AveSan Jose, CA 95116","San Jose, CA 95116",Alum Rock Union Elementary,(408) 493-5929(make sure to verify first before calling),98,4.3,82,9
Ace Charter High School,"1776 Edal Park Dr.San Jose, CA 95133","San Jose, CA 95133",East Side Union High,(408) 251-1362(make sure to verify first before calling),34,267,No,221
Ace Empower Academy School,"625 S. Sunset Ave.San Jose, CA 95116","San Jose, CA 95116",Santa Clara County Office of Education,(408) 729-3920(make sure to verify first before calling),16,351,No,302
Ace Franklin Mckinley School,"1665 Santee Dr.San Jose, CA 95112","San Jose, CA 95112",Franklin-McKinley Elementary,(408) 729-3420(make sure to verify first before calling),16,224,No,200
Ace Inspire Academy School,"1155 E. Julian St.San Jose, CA 95112","San Jose, CA 95112",San Jose Unified,(408) 295-6008(make sure to verify first before calling),36,111,No,85
Achieve Kids School,"1212 MCGINNESS AVESan Jose, CA 95127","San Jose, CA 95127",,51,No,No,,
Achiever Christian School,"540 SANDS DRSan Jose, CA 95125","San Jose, CA 95125",,236,No,No,,
Acorn Woodland Elementary School,"1025 81st Ave.Oakland, CA 94621","Oakland, CA 94621",Oakland Unified,(510) 639-3344(make sure to verify first before calling),292,15.0,269,5
Action Day Primary Plus-Campbell School,"1125 W CAMPBELL AVECampbell, CA 95008","Campbell, CA 95008",,71,No,No,,
Acts Advanced Christian Training School,"PO BOX 97Paso Robles, CA 93447","Paso Robles, CA 93447",,90,No,No,,
Adat Ari Elementary Day School,"12020 BURBANK BLVDLos Angeles, CA 91607","Los Angeles, CA 91607",,108,Yes,No,,
Adda Clevenger School,"180 FAIR OAKS STSan Francisco, CA 94110","San Francisco, CA 94110",,124,No,No,,
Adms-Auburn Discovery Montessori School,"1273 HIGH STAuburn, CA 95603","Auburn, CA 95603",,15,No,No,,
Advantage Preparatory School,"22589 HICKORY PLSanta Clarita, CA 91390","Santa Clarita, CA 91390",,92,No,No,,
Adventist Christian Elementary School,"720 S JACKSON STRed Bluff, CA 96080","Red Bluff, CA 96080",,14,No,No,,
Adventist Christian School,"555 W LAS FLORES AVERidgecrest, CA 93555","Ridgecrest, CA 93555",,47,No,No,,
Adventist Christian School,"555 W LAS FLORES AVERidgecrest, CA 93555","Ridgecrest, CA 93555",,47,No,No,,
Adventist Christian School,"555 W LAS FLORES AVERidgecrest, CA 93555","Ridgecrest, CA 93555",,47,No,No,,
Adventist Union School,"15548 SANTA ANA AVEBellflower, CA 90706","Bellflower, CA 90706",,37,No,No,,
Adventure Christian School,"6401 STANFORD RANCH RD BRoseville, CA 95678","Roseville, CA 95678",,406,No,No,,
Adventure Montessori Academy School,"4101 PLEIADES PLUnion City, CA 94587","Union City, CA 94587",,48,No,No,,
Agape Montessori School,"9537 TELSTAR AVE STE 129EL MONTE, CA 91731","EL MONTE, CA 91731",,105,No,No,,
Agape Of Christian Education School,"109 W FESLER STSanta Maria, CA 93458","Santa Maria, CA 93458",,3,No,No,,
Agbu Manoogian-Demirdjian School,"6844 OAKDALE AVELos Angeles, CA 91306","Los Angeles, CA 91306",,668,No,No,,
Agbu Vatche & Tamar Manoukian High School,"2495 E MOUNTAIN STPasadena, CA 91104","Pasadena, CA 91104",,168,No,No,,
Agbu Vatche And Tamar Manoukian High School,"2495 E MOUNTAIN STPasadena, CA 91104","Pasadena, CA 91104",,168,No,No,,
Ahrens Child Care Center School,"201 N UNIVERSITY STRedlands, CA 92374","Redlands, CA 92374",,64,No,No,,
Al-Huda Islamic School,"12227 HAWTHORNE WAYHawthorne, CA 90250","Hawthorne, CA 90250",,148,No,No,,
Alameda Christian School,"2226 PACIFIC AVEAlameda, CA 94501","Alameda, CA 94501",,48,No,No,,
Alba School,"4041 Oregon StSan Diego, CA 92104","San Diego, CA 92104",San Diego Unified,(619) 344-3900(make sure to verify first before calling),12.0,No,3,San Diego Unified
Aldar Academy School,"4436 ENGLE RDSacramento, CA 95821","Sacramento, CA 95821",,69,Yes,44,,
Aldea School,"2310 1ST STNapa, CA 94559","Napa, CA 94559",,7,No,No,,
Alexandria Academy- The School,"5776 D LINDERO CANYON RD#353WEST LAKE VILLAGE 91362, CA 91362",California forum,,35,No,No,,
Aliso Viejo Christian School,"1 ORIONAliso Viejo, CA 92656","Aliso Viejo, CA 92656",,391,No,No,,
All Are Friends Montessori School,"1130 BALCLUTHA DRFoster City, CA 94404","Foster City, CA 94404",,50,No,No,,
All Hallows Academy School,"2390 NAUTILUS STSan Diego, CA 92037","San Diego, CA 92037",,233,No,No,,
All Saints Carden Academy School,"3847 TERRACINA DRRiverside, CA 92506","Riverside, CA 92506",,46,No,No,,
All Saints' Episcopal Day School,"8060 CARMEL VALLEY RDCarmel, CA 93923","Carmel, CA 93923",,173,No,No,,
All Seasons Childrens Learning Center School,"2612 S. BALDWIN AVE.Arcadia, CA 91007","Arcadia, CA 91007",,71,No,No,,
All Souls Catholic School,"29 S ELECTRIC AVEAlhambra, CA 91801","Alhambra, CA 91801",,151,No,No,,
All Souls Elementary School,"479 MILLER AVESouth San Francisco, CA 94080","South San Francisco, CA 94080",,326,No,28,Roman Catholic,
All Start Academy School,"10022 PALMETTO AVEFontana, CA 92335","Fontana, CA 92335",,25,No,6,,
Alma Heights Christian School,"1295 SEVILLE DRPacifica, CA 94044","Pacifica, CA 94044",,279,No,No,,
Almansor Academ School,"1955 FREMONT AVESouth Pasadena, CA 91030","South Pasadena, CA 91030",,169,No,120,,
Almondale Academy School,"8616 GREENBACK LNOrangevale, CA 95662","Orangevale, CA 95662",,7,No,No,,
Alpha And Omega Academy School,"135 E IVY STFallbrook, CA 92028","Fallbrook, CA 92028",,41,No,No,,
Alpha Omega Christian School,"2363 S SAN JACINTO AVESan Jacinto, CA 92583","San Jacinto, CA 92583",,32,No,No,,
Alta Loma Christian School,"9974 19TH STRERancho Cucamonga, CA 91737","Rancho Cucamonga, CA 91737",,244,No,No,,
Alta Vista School,"450 SOMERSET STREETSan Francisco, CA 94134","San Francisco, CA 94134",,212,No,No,,
Altadena Boys & Girls Academy School,"2151 LAKE AVEAltadena, CA 91001","Altadena, CA 91001",,17,No,17,,
Alternative Educational Services School,"1080 S CYPRESS ST STE FLa Habra, CA 90631","La Habra, CA 90631",,12,No,No,,
Alturas Mennonite School,"38691 HWY 299Alturas, CA 96101","Alturas, CA 96101",,15,No,No,,
Alverno High School,"200 N MICHILLINDA AVESierra Madre, CA 91024","Sierra Madre, CA 91024",,180,No,No,,
Ambassador High School,"540 MAPLE AVETorrance, CA 90503","Torrance, CA 90503",,67,No,No,,
American Advanced Academy School,"1430 PALM DRIVEBurlingame, CA 94010","Burlingame, CA 94010",,43,No,No,,
American Christian Military Academy School,"9229 UTICA AVE STE 130Rancho Cucamonga, CA 91730","Rancho Cucamonga, CA 91730",,25,No,No,,
American Montessori Academy School,"1050 DOUGLAS BLVDRoseville, CA 95678","Roseville, CA 95678",,127,No,No,,
American Montessori Pre & Elementary School,"4475 EAGLE ROCK BLVDLos Angeles, CA 90041","Los Angeles, CA 90041",,30,No,No,,
Amerimont Academy School,"160 S OLD SPRINGS RD STE 150Anaheim, CA 92808","Anaheim, CA 92808",,24,No,No,,
Ananda Living Wisdom School,"14618 TYLER FOOTE RDNevada City, CA 95959","Nevada City, CA 95959",,53,No,No,,
Angela Pre & Kindergarten School,"100 E LIVE OAK AVEArcadia, CA 91006","Arcadia, CA 91006",,91,No,No,,
Angela Pre & Kindergarten School,"100 E LIVE OAK AVEArcadia, CA 91006","Arcadia, CA 91006",,91,No,No,,
Angel's Montessori Pre School,"150 N GARFIELD AVEAlhambra, CA 91801","Alhambra, CA 91801",,33,No,No,,
Anne Sullivan Pre & Kindergarten School,"21776 PALOMAR STWildomar, CA 92595","Wildomar, CA 92595",,120,No,1,Other,
Annunciation Elementary School,"1110 N LINCOLN STStockton, CA 95203","Stockton, CA 95203",,278,No,No,,
Anova Center For Education San Rafael School,"150 LOVELL AVESan Rafael, CA 94901","San Rafael, CA 94901",,42,No,7,,
Anova Center For Education Sonoma County School,"50 MARK WEST SPRINGS RD #101Santa Rosa, CA 95403","Santa Rosa, CA 95403",,88,No,No,,
"Anova Center For Education, Concord School","3333 RONALD WAYConcord, CA 94519","Concord, CA 94519",,60,No,20,,
Antelope Christian Academy School,"4533 ANTELOPE RDAntelope, CA 95843","Antelope, CA 95843",,120,No,No,,
Apex Academy School,"1309 N. Wilton Pl. 3rd Fl.Los Angeles, CA 90028","Los Angeles, CA 90028",Los Angeles Unified,(323) 817-6550(make sure to verify first before calling),436,21.9,419,6
Apostles Lutheran School,"5828 SANTA TERESA BLVDSan Jose, CA 95123","San Jose, CA 95123",,209,No,No,,
Apostolic Christian Academy School,"2222 LEVER BLVDStockton, CA 95206","Stockton, CA 95206",,11,No,No,Parochial,
Apple Valley Christian School,"22230 OTTAWA RDApple Valley, CA 92308","Apple Valley, CA 92308",,241,No,No,,
Appleseed Almaden Montessori School,"5200 DENT AVESan Jose, CA 95118","San Jose, CA 95118",,168,No,No,,
Appleseed Montessori - Warner School,"1302 WARNER AVESunnyvale, CA 94087","Sunnyvale, CA 94087",,96,No,No,,
Appletree Montessori School,"25542 JERONIMO RDMission Viejo, CA 92691","Mission Viejo, CA 92691",,69,No,No,,
Applied Lastics Academy- East Bay School,"2050 LINCOLN AVEAlameda, CA 94501","Alameda, CA 94501",,3,No,No,,
