school_name,address,city,school_district,telephone,students,classroom_teachers,free_lunch_students,reduce_price_lunch
A. E. Arnold Elementary School,"9281 Denni St.Cypress, CA 90630","Cypress, CA 90630",Cypress Elementary,(714) 220-6965(make sure to verify first before calling),728,27.0,195,69
A. J. Cook Elementary School,"9802 Woodbury Ave.Garden Grove, CA 92844","Garden Grove, CA 92844",Garden Grove Unified,(714) 663-6251(make sure to verify first before calling),94,355,No,178
Abby Reinke Elementary School,"43799 Sunny Meadows Dr.Temecula, CA 92592","Temecula, CA 92592",Temecula Valley Unified,(951) 302-6610(make sure to verify first before calling),808,33.0,96,23
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Acacia Elementary School,"1200 N. Acacia Ave.Fullerton, CA 92831","Fullerton, CA 92831",Fullerton Elementary,(714) 447-7700(make sure to verify first before calling),95,716,No,80
Academy For Enriched Sciences School,"17551 Miranda St.Los Angeles, CA 91316","Los Angeles, CA 91316",Los Angeles Unified,(818) 609-8421(make sure to verify first before calling),285,12.0,76,26
Academy Of The Canyons School,"26455 Rockwell Canyon Rd.Santa Clarita, CA 91355","Santa Clarita, CA 91355",William S. Hart Union High,(661) 362-3056(make sure to verify first before calling),98,395,No,26
Academy Of The Redwoods School,"7351 Tompkins Hill Rd.Eureka, CA 95501","Eureka, CA 95501",Fortuna Union High,(707) 476-4203(make sure to verify first before calling),90,178,No,54
Acalanes High School,"1200 Pleasant Hill Rd.Lafayette, CA 94549","Lafayette, CA 94549",Acalanes Union High,(925) 280-3970(make sure to verify first before calling),"1,423",69.2,35,10
Accelerated Achievement Academy School,"1151 Buena Vista Rd.Hollister, CA 95023","Hollister, CA 95023",Hollister,(831) 636-4460(make sure to verify first before calling),97,139,No,57
Ada Clegg Elementary School,"6311 Larchwood Dr.Huntington Beach, CA 92647","Huntington Beach, CA 92647",Westminster,(714) 894-7218(make sure to verify first before calling),562,24.0,202,62
Ada W. Harris Elementary School,"1508 Windsor Rd.Cardiff-by-the-Sea, CA 92007",Flora Vista Elementary,Cardiff Elementary,(760) 632-5894(make sure to verify first before calling),353,17.0,44,5
Adaline E. Kent Middle School,"800 College Ave.Kentfield, CA 94904","Kentfield, CA 94904",Kentfield Elementary,(415) 458-5970(make sure to verify first before calling),573,34.2,17,8
Adams (J. Douglas) Middle School,"401 American Ave.Brentwood, CA 94513","Brentwood, CA 94513",Brentwood Union Elementary,(925) 513-6480(make sure to verify first before calling),87,"1,167",No,179
Adams Middle School,"2600 Ripley Ave.Redondo Beach, CA 90278","Redondo Beach, CA 90278",Redondo Beach Unified,(310) 798-8636(make sure to verify first before calling),85,994,No,193
Addison Elementary School,"650 Addison Ave.Palo Alto, CA 94301","Palo Alto, CA 94301",Palo Alto Unified,(650) 322-5935(make sure to verify first before calling),475,22.4,44,8
Adobe Bluffs Elementary School,"8707 Adobe Bluffs Dr.San Diego, CA 92129","San Diego, CA 92129",Poway Unified,(858) 538-8403(make sure to verify first before calling),98,352,No,20
Agnes L. Smith Elementary School,"770 17th St.Huntington Beach, CA 92648","Huntington Beach, CA 92648",Huntington Beach City Elementary,(714) 536-1469(make sure to verify first before calling),844,29.0,141,38
Alameda Community Learning Center School,"1900 Third St.Alameda, CA 94501","Alameda, CA 94501",Alameda Unified,(510) 995-4300(make sure to verify first before calling),91,379,No,34
Alameda County Community School,"313 W. Winton Ave.Hayward, CA 94544","Hayward, CA 94544",Alameda County Office of Education,(510) 670-4590(make sure to verify first before calling),9,253,No,205
Alameda High School,"2201 Encinal Ave.Alameda, CA 94501","Alameda, CA 94501",Alameda Unified,(510) 337-7022(make sure to verify first before calling),"1,718",77.7,271,41
Alamo Elementary School,"100 Wilson Rd.Alamo, CA 94507","Alamo, CA 94507",San Ramon Valley Unified,(925) 855-4800(make sure to verify first before calling),99,378,No,5
Alamos Elementary School,"38200 Pacific Park Dr.Murrieta, CA 92563","Murrieta, CA 92563",Temecula Valley Unified,(951) 294-6760(make sure to verify first before calling),832,32.5,133,46
Albany High School,"603 Key Route Blvd.Albany, CA 94706","Albany, CA 94706",Albany City Unified,(510) 558-2500(make sure to verify first before calling),"1,210",62.8,140,66
Albany Middle School,"1259 Brighton Ave.Albany, CA 94706","Albany, CA 94706",Albany City Unified,(510) 558-3600(make sure to verify first before calling),895,46.0,118,38
Albert Einstein Academy For Letters Arts And Sciences School,"28141 Kelly Johnson Pkwy.Santa Clarita, CA 91355","Santa Clarita, CA 91355",William S. Hart Union High,(661) 702-0755(make sure to verify first before calling),92,449,No,21
Alderwood Elementary School,"2005 KnollcrestIrvine, CA 92603","Irvine, CA 92603",Irvine Unified,(949) 936-5400(make sure to verify first before calling),96,847,No,68
Alexander Hamilton Elementary School,"2245 E. 11th St.Stockton, CA 95206","Stockton, CA 95206",Stockton Unified,(209) 933-7395(make sure to verify first before calling),9,826,"Yes, under Provision 2",614
Alexander Valley Elementary School,"8511 Highway 128Healdsburg, CA 95448","Healdsburg, CA 95448",Alexander Valley Union Elementary,(707) 433-1375(make sure to verify first before calling),84,123,No,24
Alfred B. Nobel Charter Middle School,"9950 Tampa Ave.Los Angeles, CA 91324","Los Angeles, CA 91324",Los Angeles Unified,(818) 773-4700(make sure to verify first before calling),87,"2,456",No,720
Alice C. Stelle Middle School,"22450 Mulholland Hwy.Calabasas, CA 91302","Calabasas, CA 91302",Las Virgenes Unified,(818) 224-4107(make sure to verify first before calling),89,790,No,42
Alicia Reyes Elementary School,"123 S. N St.Merced, CA 95340","Merced, CA 95340",Merced City Elementary,(209) 385-6761(make sure to verify first before calling),652,28.6,604,26
Alisal Elementary School,"1454 Santa Rita Rd.Pleasanton, CA 94566","Pleasanton, CA 94566",Pleasanton Unified,(925) 426-4200(make sure to verify first before calling),92,628,No,41
Aliso Niguel High School,"28000 Wolverine WayAliso Viejo, CA 92656","Aliso Viejo, CA 92656",Capistrano Unified,(949) 831-5590(make sure to verify first before calling),91,"3,068",No,287
Aliso Viejo Middle School,"111 Park Ave.Aliso Viejo, CA 92656","Aliso Viejo, CA 92656",Capistrano Unified,(949) 831-2622(make sure to verify first before calling),"1,055",40.9,138,31
Allen (Ella B.) Elementary School,"4300 Allen Sch Rd.Bonita, CA 91902","Bonita, CA 91902",Chula Vista Elementary,(619) 479-3662(make sure to verify first before calling),82,401,No,101
Allendale Elementary School,"3670 Penniman Ave.Oakland, CA 94619","Oakland, CA 94619",Oakland Unified,(510) 535-2812(make sure to verify first before calling),374,16.0,311,10
Alliance Dr. Olga Mohan High School,"644 W. 17th St.Los Angeles, CA 90015","Los Angeles, CA 90015",Los Angeles Unified,(213) 342-2870(make sure to verify first before calling),79,451,No,397
Almond Elementary School,"8172 Almond Ave.Fontana, CA 92335","Fontana, CA 92335",Fontana Unified,(909) 357-5130(make sure to verify first before calling),15,549,"Yes, under Provision 2",437
Alta Murrieta Elementary School,"39475 Whitewood Rd.Murrieta, CA 92563","Murrieta, CA 92563",Murrieta Valley Unified,(951) 696-1403(make sure to verify first before calling),83,797,No,215
Alta Sierra Intermediate School,"380 W. Teague Ave.Clovis, CA 93611","Clovis, CA 93611",Clovis Unified,(559) 327-3500(make sure to verify first before calling),"1,342",60.1,362,117
Alta Vista Elementary School,"200 Blossom Valley RdLos Gatos, CA 95032","Los Gatos, CA 95032",Union Elementary,(408) 356-6146(make sure to verify first before calling),97,647,No,10
Alta-Dutch Flat Elementary School,"34050 Alta-Bonny Nook Rd.Alta, CA 95701","Alta, CA 95701",Alta-Dutch Flat Union Elementary,(530) 389-8283(make sure to verify first before calling),92,4.5,34,6
Altamont Elementary School,"452 W. Saint Francis Ave.Mountain House, CA 95391","Mountain House, CA 95391",Lammersville Joint Unified,(209) 836-7240(make sure to verify first before calling),81,679,No,64
Alternative Education-San Joaquin High School,"3387 Barranca Pkwy.Irvine, CA 92606","Irvine, CA 92606",Irvine Unified,(949) 936-7440(make sure to verify first before calling),96,76,No,6
Alternative Family Education School,"840 N. Branciforte Ave.Santa Cruz, CA 95062","Santa Cruz, CA 95062",Santa Cruz City High,(831) 429-3898(make sure to verify first before calling),96,162,No,23
Alvarado Elementary School,"1900 E. 21st St.Signal Hill, CA 90755","Signal Hill, CA 90755",Long Beach Unified,(562) 985-0019(make sure to verify first before calling),435,18.0,271,68
