Name,Address,Rating,Enrollment,Grade span
21st Century Learning Institute School,"939 E. 10th St., Beaumont",17,73,KG-12
A B C Little School,"6447 WOODMAN AVE, Los Angeles",-,86,PK-2
A Better Chance /Cal Autism Foundation School,"4138 LAKESIDE DR, Richmond",-,37,Ungraded
A Bright Beginning Child Development Center School,"712 E MANCHESTER BLVD, Inglewood",-,56,PK-KG
A Caring Touch Christian Family Center School,"3035 E AVENUE S, Palmdale",-,37,PK-KG
A Place To Grow School,"414 E. Ojai Ave., Ojai",-,-,PK
A. E. Arnold Elementary School,"9281 Denni St., Cypress",84,728,KG-06
A. G. Currie Middle School,"1402 Sycamore Ave., Tustin",30,776,06-08
A. J. Cook Elementary School,"9802 Woodbury Ave., Garden Grove",94,355,KG-06
A. J. Dorsa Elementary School,"1290 Bal Harbor Dr., San Jose",25,489,KG-05
A. L. Conner Elementary School,"222 Fourth St., Orange Cove",22,328,KG-05
A. M. Thomas Middle School,"20979 Lobos Ct., Lost Hills",14,170,06-08
A. M. Winn Waldorf-Inspired School,"3351 Explorer Dr., Sacramento",16,365,KG-08
Abc Childcare Center School,"29705 SOLANA WAY, Temecula",-,130,PK-KG
Abc Little School,"11728 MOORPARK ST, Los Angeles",-,88,PK-KG
Abc Little - West Hollywood School,"927 N FAIRFAX AVE, Los Angeles",-,50,PK-1
Abc Playhouse School,"18213 PRAIRIE AVE, Torrance",-,90,PK-1
Abc School,"4540 HARLIN DR, Sacramento",-,78,PK-KG
Abc House School,"4102 W VICTORY BLVD, Burbank",-,28,PK-KG
Abc Secondary (Alternative) School,"16534 S. Carmenita Rd., Cerritos",43,64,07-12
Abiding Savior Lutheran School,"23262 EL TORO RD, Lake Forest",-,269,PK-8
Abraham Joshua Heel Day School,"17701 DEVONSHIRE ST, Los Angeles",-,362,KG-8
Acaciawood School,"2530 W LA PALMA AVE, Anaheim",-,119,1-12
Academia De Talar School,"31430 CALLE DE TALAR, Bonsall",-,7,KG-10
Academy For Advancement Of Children With Autism School,"6742 E AVE H, Lancaster",-,45,1-12
Academy Of Our Lady Of Peace School,"4860 OREGON ST, San Diego",-,747,9-12
Academy On The Hill School,"10 MAREBLU, Aliso Viejo",-,165,PK-1
Ace Alum Rock School,"1990 Kammerer Ave, San Jose",-,98,-
Ace Charter High School,"1776 Edal Park Dr., San Jose",36,267,09-12
Ace Empower Academy School,"625 S. Sunset Ave., San Jose",16,351,05-08
Ace Franklin Mckinley School,"1665 Santee Dr., San Jose",16,224,05-08
Ace Inspire Academy School,"1155 E. Julian St., San Jose",36,111,05-08
Achieve Kids School,"1212 MCGINNESS AVE, San Jose",-,51,3-12
Achiever Christian School,"540 SANDS DR, San Jose",-,236,PK-8
Acorn Woodland Elementary School,"1025 81st Ave., Oakland",33,292,KG-05
