Name,Address,Rating,Enrollment,Grade span
A. E. Arnold Elementary School,"9281 Denni St., Cypress",84,728,KG-06
A. J. Cook Elementary School,"9802 Woodbury Ave., Garden Grove",94,355,KG-06
Abby Reinke Elementary School,"43799 Sunny Meadows Dr., Temecula",89,808,KG-05
Abraham Lincoln Elementary School,"3101 Pacific View Dr., Corona Del Mar",94,561,KG-06
Abraham Lincoln Elementary School,"21710 McClellan Rd., Cupertino",98,663,KG-05
Abraham Lincoln Elementary School,"4310 New York Ave., La Crescenta-Montrose",90,506,KG-06
Acacia Elementary School,"1200 N. Acacia Ave., Fullerton",95,716,KG-06
Academy For Enriched Sciences School,"17551 Miranda St., Los Angeles",88,285,KG-05
Academy Of The Canyons School,"26455 Rockwell Canyon Rd., Santa Clarita",98,395,09-12
Academy Of The Redwoods School,"7351 Tompkins Hill Rd., Eureka",90,178,09-12
Acalanes High School,"1200 Pleasant Hill Rd., Lafayette",98,"1,423",09-12
Accelerated Achievement Academy School,"1151 Buena Vista Rd., Hollister",97,139,04-08
Ada Clegg Elementary School,"6311 Larchwood Dr., Huntington Beach",84,562,KG-05
Ada W. Harris Elementary School,"1508 Windsor Rd., Cardiff-by-the-Sea",93,353,03-06
Adaline E. Kent Middle School,"800 College Ave., Kentfield",95,573,05-08
Adams (J. Douglas) Middle School,"401 American Ave., Brentwood",87,"1,167",06-08
Adams Middle School,"2600 Ripley Ave., Redondo Beach",85,994,06-08
Addison Elementary School,"650 Addison Ave., Palo Alto",93,475,KG-05
Adobe Bluffs Elementary School,"8707 Adobe Bluffs Dr., San Diego",98,352,KG-05
Agnes L. Smith Elementary School,"770 17th St., Huntington Beach",88,844,KG-05
Alameda Community Learning Center School,"1900 Third St., Alameda",92,379,06-12
Alameda County Community School,"313 W. Winton Ave., Hayward",9,253,KG-12
Alameda High School,"2201 Encinal Ave., Alameda",88,"1,718",09-12
Alamo Elementary School,"100 Wilson Rd., Alamo",98,378,KG-05
Alamo Elementary School,"250 23rd Ave., San Francisco",86,535,KG-05
Alamos Elementary School,"38200 Pacific Park Dr., Murrieta",82,832,KG-05
Albany High School,"603 Key Route Blvd., Albany",93,"1,210",09-12
Albany Middle School,"1259 Brighton Ave., Albany",95,895,06-08
Albert Einstein Academy For Letters Arts And Sciences School,"28141 Kelly Johnson Pkwy., Santa Clarita",91,449,07-12
Alderwood Elementary School,"2005 Knollcrest, Irvine",96,847,KG-06
Alexander Hamilton Elementary School,"2245 E. 11th St., Stockton",9,826,KG-08
Alexander Valley Elementary School,"8511 Highway 128, Healdsburg",84,123,KG-06
Alfred B. Nobel Charter Middle School,"9950 Tampa Ave., Los Angeles",87,"2,456",06-08
Alice C. Stelle Middle School,"22450 Mulholland Hwy., Calabasas",89,790,06-08
Alicia Reyes Elementary School,"123 S. N St., Merced",9,652,KG-06
Alisal Elementary School,"1454 Santa Rita Rd., Pleasanton",92,628,KG-05
Aliso Niguel High School,"28000 Wolverine Way, Aliso Viejo",91,"3,068",09-12
Aliso Viejo Middle School,"111 Park Ave., Aliso Viejo",94,"1,055",06-08
Allen (Ella B.) Elementary School,"4300 Allen Sch Rd., Bonita",82,401,KG-06
Allendale Elementary School,"3670 Penniman Ave., Oakland",9,374,KG-05
Alliance Dr. Olga Mohan High School,"644 W. 17th St., Los Angeles",90,451,09-12
Almond Elementary School,"550 Almond Ave., Los Altos",97,536,KG-06
Alta Murrieta Elementary School,"39475 Whitewood Rd., Murrieta",83,797,KG-05
Alta Sierra Intermediate School,"380 W. Teague Ave., Clovis",90,"1,342",07-08
Alta Vista Elementary School,"200 Blossom Valley Rd, Los Gatos",97,647,KG-05
Alta Vista Elementary School,"815 Knob Hill Ave., Redondo Beach",92,664,KG-05
Alta-Dutch Flat Elementary School,"34050 Alta-Bonny Nook Rd., Alta",86,92,KG-08
Altamont Elementary School,"452 W. Saint Francis Ave., Mountain House",81,679,KG-08
Alternative Education-San Joaquin High School,"3387 Barranca Pkwy., Irvine",96,76,KG-12
Alternative Family Education School,"840 N. Branciforte Ave., Santa Cruz",96,162,KG-12
Alvarado Elementary School,"625 Douglas St., San Francisco",82,508,KG-05
Amador Valley High School,"1155 Santa Rita Rd., Pleasanton",98,"2,628",09-12
Ambassador Phillip V. Sanchez Public Charter School,"5659 E. Kings Canyon Rd., Fresno",9,591,KG-12
Amelia Earhart Elementary School,"400 Packet Landing Rd., Alameda",97,622,KG-05
American High School,"36300 Fremont Blvd., Fremont",89,"2,093",09-12
American Indian Public Charter Ii School,"171 12th St., Oakland",88,641,KG-08
American Indian Public High School,"746 Grand Ave., Oakland",85,229,09-12
Anaheim Hills Elementary School,"6450 E. Serrano, Anaheim",92,516,KG-06
Anahuacalmecac International Univ Prep Of N. America School,"4736 Hntngtn Dr. S., Los Angeles",9,368,KG-12
Analy High School,"6950 Analy Ave., Sebastopol",84,"1,273",09-12
Anderson W. Clark Magnet High School,"4747 New York Ave., La Crescenta-Montrose",98,"1,103",09-12
Animo Inglewood Charter High School,"3425 W. Manchester Blvd., Inglewood",91,642,09-12
Animo Western Charter Middle School,"12226 S. W.ern Ave., Los Angeles",9,626,06-08
Anthony G. Bacich Elementary School,"699 Sir Francis Drake Blvd., Kentfield",90,659,KG-04
Anza Elementary School,"21400 Ellinwood Dr., Torrance",95,626,KG-05
Aptos High School,"100 Mariner Way, Aptos",80,"1,409",09-12
Aragon High School,"900 Alameda de Las Pulgas, San Mateo",93,"1,473",09-12
Arcadia High School,"180 Campus Dr., Arcadia",89,"3,424",09-12
Arcata High School,"1720 M St., Arcata",83,855,09-12
Ardenwood Elementary School,"33955 Emilia Ln., Fremont",98,989,KG-06
Ardis G. Egan Junior High School,"100 W. Portola Ave., Los Altos",99,645,07-08
Arellanes (Don Juan Bautista) Elementary School,"1890 Sandalwood Dr., Santa Maria",9,295,KG-06
Argonaut Elementary School,"13200 Shadow Mountain Rd., Saratoga",99,391,KG-05
Argonne Elementary School,"680 18th Ave., San Francisco",81,430,KG-05
Arlene Hein Elementary School,"6820 Bellaterra Dr., Elk Grove",92,"1,219",KG-06
Arlington Elementary School,"17800 Van Ness Ave., Torrance",83,574,KG-05
Arma J. Shull Elementary School,"825 N. Amelia, San Dimas",95,604,KG-05
Arnold Adreani Elementary School,"9927 Wildhawk W. Dr., Sacramento",97,809,KG-06
Arnold O. Beckman High School,"3588 Bryan Ave., Irvine",94,"2,847",09-12
Arroyo School,"1710 Arroyo Ave., San Carlos",95,-,04-05
Arroyo Elementary School,"11112 Coronel Rd., Santa Ana",93,640,KG-05
Arroyo Seco Junior High School,"27171 N. Vista Delgado Dr., Santa Clarita",84,"1,220",07-08
Arroyo Vista Charter School,"2491 Sch House Rd., Chula Vista",94,995,KG-08
Arroyo Vista Elementary School,"23371 Arroyo Vista, Rancho Santa Margarita",89,605,KG-05
Arroyo Vista Elementary School,"335 El Centro St., South Pasadena",97,703,KG-05
Arroyo Vista Middle School,"23371 Arroyo Vista, Rancho Santa Margarita",94,388,06-08
Arthur E. Wright Middle School,"4029 N. Las Virgenes Rd., Calabasas",91,875,06-08
Arundel Elementary School,"200 Arundel Rd., San Carlos",97,527,KG-04
Asawa (Ruth) Sf Of The Arts A Public School,"555 Portola Dr., San Francisco",93,614,09-12
Ashley Falls Elementary School,"13030 Ashley Falls Dr., San Diego",97,410,KG-06
Aspire Benjamin Holt College Preparatory Academy School,"3201 E. Morada Ln., Stockton",86,730,09-12
Aspire College Academy School,"8030 Atherton St., Oakland",9,286,KG-05
Aspire University Charter School,"3313 Coffee Rd., Modesto",82,267,KG-05
Aspire Vincent Shalvey Academy School,"10038 Hwy 99 E. Frontage Rd., Stockton",84,387,KG-05
Atherwood Elementary School,"2350 E. Greensward St., Simi Valley",88,542,KG-06
Audubon Elementary School,"841 Gull Ave., Foster City",91,717,KG-05
Augustus F. Hawkins High A Critical Design And Gaming School,"825 W. 60th St., Los Angeles",9,532,09-12
Aurelia Pennekamp Elementary School,"110 S. Rowell, Manhattan Beach",98,560,KG-05
Austin Creek Elementary School,"1480 Snowy Egret Dr., Santa Rosa",97,420,KG-06
Avery Middle School,"4545 Moran Rd., Avery",85,193,06-08
Aviara Oaks Elementary School,"6900 Ambrosia Ln., Carlsbad",96,700,KG-05
Aviara Oaks Middle School,"6880 Ambrosia Ln., Carlsbad",95,"1,132",06-08
Balboa Gifted/High Ability Magnet Elementary School,"17020 Labrador St., Los Angeles",99,748,01-05
Baldwin Stocker Elementary School,"422 W. Lemon Ave., Arcadia",96,709,KG-05
Ballard Elementary School,"2425 Sch St., Solvang",98,124,KG-06
Bancroft Elementary School,"2200 Parish Dr., Walnut Creek",86,559,KG-05
Banyan Elementary School,"10900 Mirador Dr., Rancho Cucamonga",82,612,KG-06
Barbara Chilton Middle School,"4501 Bob Doyle Dr., Roseville",91,482,06-08
Barnard Elementary School,"2445 Fogg St., San Diego",85,430,KG-06
Barton Hill Elementary School,"423 N. Pacific Ave., Los Angeles",9,697,KG-06
Bathgate Elementary School,"27642 Napoli Way, Mission Viejo",88,670,KG-05
Bay Farm School,"200 Aughinbaugh Way, Alameda",95,591,KG-08
Bay Laurel Elementary School,"24740 Paseo Primario, Calabasas",89,600,KG-05
Bay Park Elementary School,"2433 Denver St., San Diego",90,444,KG-05
Bayshore Preparatory Charter School,"1175 Linda Vista Dr., San Marcos",81,112,KG-12
Bayview Elementary School,"3001 16th St., San Pablo",9,606,KG-06
Baywood Elementary School,"600 Alameda de Las Pulgas, San Mateo",84,739,KG-05
Beach Elementary School,"100 Lake Ave, Piedmont",99,335,KG-05
Beacon Park School,"200 Cultivate, Irvine",92,-,KG-08
Bear River High School,"11130 Magnolia Rd., Grass Valley",81,696,09-12
Beckford Charter For Enriched Studies School,"19130 Tulsa St., Los Angeles",87,615,KG-05
Beechwood Elementary School,"780 Beechwood Ave., Fullerton",95,868,KG-08
Bel Aire Elementary School,"277 Karen Way, Tiburon",96,555,03-05
Bella Vista Elementary School,"1050 Trumpet Vine Ln., San Ramon",92,-,KG-05
Belle Haven Elementary School,"415 Ivy Dr., Menlo Park",9,577,KG-08
Bellevue-Santa Fe Charter School,"1401 San Luis Bay Dr., San Luis Obispo",98,160,KG-06
Benchley/Weinberger Elementary School,"6269 Twin Lake Dr., San Diego",94,556,KG-05
Bend Elementary School,"22270 Bend Ferry Rd., Red Bluff",81,77,KG-08
Benicia High School,"1101 Military W., Benicia",82,"1,664",09-12
Benjamin Bubb Elementary School,"525 Hans Ave., Mountain View",93,556,KG-05
Benjamin Franklin Elementary School,"2650 Oak Ave., Corona",83,819,KG-06
Benjamin Franklin Elementary School,"1610 Lake St., Glendale",81,656,KG-06
Berkeley Arts Magnet At Whittier School,"1645 Milvia St., Berkeley",84,448,KG-05
Bernal Intermediate School,"6610 San Ignacio Ave., San Jose",80,782,07-08
Bernardo Heights Middle School,"12990 Paseo Lucido, San Diego",90,"1,474",06-08
Bernardo Yorba Middle School,"5350 Fairmont Blvd., Yorba Linda",89,688,07-08
Bernice Ayer Middle School,"1271 Sarmentoso, San Clemente",84,861,06-08
Bert M. Lynn Middle School,"5038 Halison St., Torrance",95,730,06-08
Beryl Heights Elementary School,"920 Beryl St., Redondo Beach",91,501,KG-05
Bethany Elementary School,"570 Escuela Dr., Mountain House",88,848,KG-08
Beverly Hills High School,"241 Moreno Dr., Beverly Hills",85,"1,589",09-12
Beverly Vista Elementary School,"200 S. Elm Dr., Beverly Hills",90,690,KG-08
Big Springs Elementary School,"3401 Big Springs Ave., Simi Valley",91,654,KG-06
Bird Rock Elementary School,"5371 La Jolla Hermosa Ave., San Diego",96,516,KG-05
Birney Elementary School,"1600 Green Ln., Redondo Beach",91,460,KG-05
Birney Elementary School,"4345 Campus Ave., San Diego",84,541,KG-05
Bishop's Peak Elementary School,"451 Jaycee Dr., San Luis Obispo",86,453,KG-06
Black Mountain Middle School,"9353 Oviedo St., San Diego",92,"1,250",06-08
Black Rock Alternative/Continuation School,"59273 Sunnyslope, Yucca Valley",9,121,09-12
Blandford Elementary School,"2601 Blandford Dr., Rowland Heights",92,673,KG-06
Blossom Hill Elementary School,"16400 Blossom Hill Rd., Los Gatos",98,668,KG-05
Blue Hills Elementary School,"12300 De Sanka Ave., Saratoga",98,383,KG-05
Blue Oaks Elementary School,"8150 Horncastle Ave., Roseville",90,524,KG-05
Blythe Street Elementary School,"18730 Blythe St., Los Angeles",9,483,KG-05
Bollinger Canyon Elementary School,"2300 Talavera Dr., San Ramon",97,607,KG-05
Bonita Canyon Elementary School,"1 Sundance, Irvine",96,488,KG-06
Bonita High School,"3102 D St., La Verne",82,"1,993",09-12
Bonsall West Elementary School,"5050 El Mirlo Dr., Oceanside",95,557,KG-06
Booksin Elementary School,"1590 Dry Creek Rd., San Jose",94,848,KG-05
